output_area,ethnicity,0,15,30,65
210800,European,232,219,536,248
210900,European,353,291,651,278
211000,European,428,322,733,250
211100,European,273,243,618,538
211200,European,181,155,477,178
211300,European,265,230,773,249
211400,European,226,159,343,138
211500,European,227,182,559,761
211700,European,393,214,892,707
211800,European,503,277,947,553
211900,European,503,287,1104,675
212000,European,180,101,427,199
212100,European,303,183,637,340
212200,European,236,156,562,156
212300,European,355,236,916,325
212400,European,106,103,313,144
212500,European,144,102,479,307
212600,European,134,131,424,279
212800,European,14,24,122,46
212900,European,103,114,436,483
213000,European,305,236,706,319
213100,European,213,184,685,734
213200,European,332,250,875,739
213300,European,387,351,1075,433
213400,European,400,306,1165,475
213500,European,303,220,573,298
