geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
134700,618,75,9,9,48,0,0,0,1203,2018,134700,Total
134900,462,36,0,24,48,0,0,0,906,2018,134900,Total
135000,867,6,6,111,63,0,0,0,1701,2018,135000,Total
135100,0,0,0,123,6,0,0,0,999,2018,135100,Total
135200,405,18,0,18,36,0,0,0,906,2018,135200,Total
135300,51,0,0,147,0,0,0,0,1026,2018,135300,Total
135400,642,75,6,18,33,0,0,0,1233,2018,135400,Total
135500,531,21,0,90,21,0,0,0,1110,2018,135500,Total
135600,438,6,0,21,96,0,0,0,930,2018,135600,Total
135700,48,0,0,12,0,0,0,0,591,2018,135700,Total
135800,393,0,0,114,0,0,0,0,894,2018,135800,Total
135900,0,0,0,36,0,0,0,0,516,2018,135900,Total
136000,579,30,15,354,60,30,0,0,2313,2018,136000,Total
136100,66,0,0,60,0,0,0,0,687,2018,136100,Total
136200,270,0,0,87,45,9,0,0,780,2018,136200,Total
136300,720,39,0,210,60,30,0,0,1731,2018,136300,Total
136400,522,57,0,219,27,15,0,18,2043,2018,136400,Total
136500,1035,84,9,45,87,0,0,0,1764,2018,136500,Total
136600,645,21,0,57,6,0,0,0,1080,2018,136600,Total
136700,873,90,0,15,33,0,0,0,1668,2018,136700,Total
136800,303,6,0,45,9,0,0,0,657,2018,136800,Total
136900,294,0,0,135,6,9,0,0,942,2018,136900,Total
137000,348,9,0,117,0,0,0,6,867,2018,137000,Total
137100,417,24,0,33,9,0,0,0,840,2018,137100,Total
137200,690,30,0,78,27,0,0,0,1287,2018,137200,Total
137300,252,12,0,6,6,0,0,0,492,2018,137300,Total
137400,582,24,0,108,0,30,0,33,1578,2018,137400,Total
137500,456,48,0,0,21,0,0,0,909,2018,137500,Total
137600,399,0,0,117,6,0,0,0,903,2018,137600,Total
137700,15,0,0,24,0,0,0,0,198,2018,137700,Total
137800,480,9,0,282,6,9,0,0,1563,2018,137800,Total
137900,528,6,0,51,0,0,0,0,954,2018,137900,Total
138000,483,66,0,15,0,0,0,0,933,2018,138000,Total
138100,570,21,0,210,0,6,0,0,1368,2018,138100,Total
138200,621,27,0,168,6,0,0,0,1314,2018,138200,Total
138300,915,33,0,105,0,0,0,0,1527,2018,138300,Total
138400,627,18,0,192,0,12,0,0,1446,2018,138400,Total
138500,426,33,12,186,162,0,0,0,1716,2018,138500,Total
138600,372,21,0,48,12,0,0,0,696,2018,138600,Total
138700,459,27,0,129,30,0,0,0,1308,2018,138700,Total
138900,825,69,9,72,9,0,0,0,1461,2018,138900,Total
139000,519,0,0,180,0,6,0,0,1257,2018,139000,Total
139100,189,0,0,18,0,0,0,0,477,2018,139100,Total
139200,504,45,0,75,0,6,0,0,1104,2018,139200,Total
139300,615,30,0,189,0,0,0,0,1362,2018,139300,Total
139400,465,24,6,18,75,0,0,0,1107,2018,139400,Total
139500,381,6,0,57,0,0,0,0,696,2018,139500,Total
139600,594,15,0,105,0,0,0,0,1107,2018,139600,Total
139700,762,21,18,234,0,0,0,0,1611,2018,139700,Total
139800,1017,42,6,141,0,0,0,0,1737,2018,139800,Total
139900,804,39,0,246,0,0,0,6,1734,2018,139900,Total
140000,759,51,15,81,42,0,0,0,1542,2018,140000,Total
140100,414,21,9,63,6,6,0,0,984,2018,140100,Total
140200,672,24,0,141,0,0,0,0,1437,2018,140200,Total
140300,477,21,0,69,78,0,0,0,1224,2018,140300,Total
140400,558,0,0,117,0,0,0,0,1113,2018,140400,Total
140500,747,57,0,21,72,0,0,6,1401,2018,140500,Total
140600,285,12,0,54,0,0,0,0,633,2018,140600,Total
140700,270,0,0,27,0,0,0,0,549,2018,140700,Total
140800,783,42,0,156,0,0,0,0,1599,2018,140800,Total
140900,1023,78,0,165,0,0,0,0,1761,2018,140900,Total
141000,690,48,0,111,78,0,0,0,1533,2018,141000,Total
141100,948,60,6,153,6,33,0,6,1893,2018,141100,Total
141200,207,12,0,54,0,0,0,0,525,2018,141200,Total
141300,591,30,0,99,0,0,0,0,1089,2018,141300,Total
141500,372,6,21,84,0,0,0,0,906,2018,141500,Total
141600,528,15,0,24,24,0,0,0,1032,2018,141600,Total
141700,378,42,0,84,0,0,0,0,891,2018,141700,Total
141800,888,81,0,96,9,24,0,0,1824,2018,141800,Total
