oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
315600,2,0,1,0,12,0,0,2,3,0,0,0,0,0,0,3,0,6,2,5,0,2,0,71,0,0,1,9,0,0,0,0,0,0,1,0,6,1
315700,0,0,49,0,11,1,111,13,3,0,4,2,29,1,24,12,97,6,13,0,0,118,0,65,2,84,7,9,0,3,2,33,2,24,4,21,6,11
315800,0,0,0,0,3,0,0,0,0,0,0,2,5,0,0,12,3,0,6,0,0,0,0,17,0,0,0,0,0,0,2,6,0,0,4,0,0,5
315900,0,0,3,0,22,1,4,18,1,2,0,0,5,9,0,83,28,0,8,0,0,8,0,131,2,3,11,3,2,0,0,6,11,0,28,6,0,7
316000,0,0,0,0,3,1,0,0,3,0,0,0,0,11,0,15,74,0,6,0,0,0,0,17,2,0,0,9,0,0,0,0,13,0,5,16,0,5
316100,0,0,45,0,50,11,167,121,26,0,4,2,48,3,0,93,115,4,66,0,0,108,0,299,23,127,74,71,0,3,2,56,4,0,32,25,4,59
316200,0,0,0,0,7,0,11,0,2,0,0,2,0,0,0,145,0,0,6,0,0,0,0,41,0,9,0,6,0,0,2,0,0,0,50,0,0,5
316500,18,9,33,0,20,0,2,0,7,0,2,4,55,3,592,78,115,13,44,37,74,79,0,119,0,1,0,21,0,1,4,64,4,571,27,25,12,39
316600,18,0,30,0,7,34,31,113,11,0,0,4,32,16,0,26,0,25,6,37,0,74,0,41,70,24,69,30,0,0,4,37,18,0,9,0,23,5
316800,1,0,2,3,9,8,11,47,0,2,0,4,13,0,0,0,3,46,0,2,0,5,8,53,16,9,29,0,2,0,4,15,0,0,0,0,44,0
316900,0,0,10,0,12,1,27,18,4,0,0,2,1,1,0,3,17,0,18,0,0,24,0,71,2,21,11,12,0,0,2,2,2,0,1,3,0,16
317000,18,0,214,1,34,2,7,18,3,0,2,12,45,5,0,57,28,8,2,37,0,514,2,203,5,5,11,9,0,1,12,52,6,0,19,6,8,1
317100,0,0,2,0,11,1,2,7,2,2,0,8,5,1,0,0,0,6,2,0,0,5,0,65,2,1,4,6,2,0,8,6,2,0,0,0,6,1
317200,4,0,90,14,52,2,31,34,2,0,0,8,9,5,21,12,0,21,37,8,0,217,34,311,5,24,21,6,0,0,8,11,6,20,4,0,20,32
317300,0,1,210,0,78,27,262,21,11,0,9,6,3,103,49,72,63,39,29,0,11,504,0,467,56,199,13,30,0,7,6,4,120,48,25,13,37,26
317400,2,0,1,0,32,4,151,65,11,0,7,6,25,1,0,52,40,2,11,5,0,2,0,191,8,115,39,30,0,5,6,30,2,0,18,8,2,9
